index,file_path,digital_urdu,english
3072,test/068_046_0.jpg,"”شاتو برایاں“ تو بہت پہلے سے رکن تھا۔ سنہ ۵۲۸۱ء میں ”کاسی مردی لادین""","""Shato Brian"" was a member long ago. In the year 5281, ""Kasi Mardi Ladin"""
3073,test/052_011_30.jpg,موقع نہیں بہن ابھی فریاد و آہ کا,"There is no time, sister, for crying and sighing now."
3074,test/052_011_29.jpg,خود جاکے میں دکھاتا ہوں انکو رہ صواب,I'll go myself and show them the right way.
3075,test/052_011_28.jpg,مغرور ہیں خطا پہ ہیں یہ خانماں خراب,These ladies are arrogant and at fault.
3076,test/052_011_27.jpg,مضطر نہو دعائیں ہیں تم سبکی مستجاب,"Don't be anxious, your prayers are answered with ease."
3077,test/052_011_25.jpg,کچھ اس پہ بن گئی تو یہ مجمع تباہ ہے,"If something happens to this, this group will be destroyed."
3078,test/052_011_24.jpg,تودادوے مری کہ عدالت پناہ ہے,"So, if you die, the court is your refuge."
3079,test/052_011_23.jpg,بچ جائے اس فساد سے,Escape from this chaos.
3080,test/052_011_22.jpg,زنیب کی یہ دعا ہی کہ اے رب زد اسجال,"This is the prayer of Zainab: ""O Lord, remove the calamity."""
3081,test/052_011_21.jpg,دہ رعب الاماں دہ ہتور کہ الحذر,The fear of the gods is the fear of the gods.
3082,test/052_011_20.jpg,دستانے دونوں فتح کے مسکن ظفر کا گھر,"Both gloves are the home of victory, the home of victory."
3083,test/052_011_14.jpg,فاقوں سے جاں بلب ہیں عطش سے ہلاک ہیں,They are dying of hunger and dying of thirst
3084,test/052_011_13.jpg,ان ننھے ننھے بچوں پہ کر رحم اے خدا,"Oh God, have mercy on these little children."
3085,test/052_011_12.jpg,غربت میں ٹھن گئی جو لڑائی تو ہوگا کیا,What will happen if the fight is frozen in poverty?
3086,test/052_011_11.jpg,بیکس پہ یہ چڑھائی ہے سید پہ یہ جفا,"This is a climb on the back, this is a struggle on the right."
3087,test/052_011_10.jpg,آفت میں ہے مسافر صحرائے کربلا,The traveler in the desert of Karbala is in trouble.
3088,test/052_011_9.jpg,صندل سے مانگ بچوں سے گودی بھری رہے,"The docks are full of children, asking for sandalwood."
3089,test/052_011_8.jpg,بانوے نیک نام کی کھیتی ہری رہے,May the fields of good name flourish.
