index,file_path,digital_urdu,english
0,test/076_022_18.jpg,اندراج و تحریر شرعاً صرف مستحب اور پسندیدہ ہے وہ واجب نہیں کہ کسی شرعی,"Recording and writing are only recommended and desirable according to Sharia law, they are not obligatory for any Sharia law."
1,test/076_022_16.jpg,اور ہندوستان کی مسلم ریاستوں میں اس پر کم و بیش عمل درآمد بھی ہے، جہاں تک جبری,"And in the Muslim states of India it is more or less enforced, as far as forced"
2,test/076_022_15.jpg,بلکہ اس کے نزدیک وہ پسندیدہ اور مستحسن بھی ہے، عملی پہلوکے لحاظ سے اسلامی سلطنتوں,"Rather, he is also beloved and desirable to him, in practical terms, the Islamic empires."
3,test/076_022_14.jpg,جہاں تک پہلی صورت کاتعلق ہے، شریعت اسلامیہ کی رو سے اس پر اعتراض جائز نہیں،,"As far as the first case is concerned, it is not permissible to object to it according to Islamic law."
4,test/076_022_13.jpg,ہے، اس لیے اس کولازمی طورپر جاری کردیاجائے، اس کانام جبر ی اندراج ہے،,"Therefore, it must be released, it is called forced registration."
5,test/076_022_12.jpg,مقدمات سے نجات مل سکتی ہے، نکاح کے ثبوت اورک دین مہر کے تعین میں سہولت ہوتی,"It can save you from lawsuits, and it would be easier to prove marriage and determine the religious dowry."
6,test/076_022_11.jpg,دوسرا پہلو یہ ہے کہ چونکہ اس اندراج میں بہت سی مصلحتیں ہیں، اس سے بڑی حدتک,"The other aspect is that since there are many interests in this entry, it is largely"
7,test/076_022_10.jpg,جس قدر لوگ اس پر عمل کریں اتنا ہی فائدہ ہے، اس کانام اختیاری اندراج ہے،,"The more people follow it, the more benefit it has. It's called optional enrollment."
8,test/076_022_9.jpg,ایک تویہ کہ اس قسم کااندراج مفید ونافع ہے، اوراس کا رواج دینا مناسب ہے،,"On the one hand, this type of entry is useful and beneficial, and it is appropriate to make it a practice."
9,test/076_022_7.jpg,کے لیے غیر ضروری تسلیم کرتے ہوئے اس حیثیت سے یہ مسئلہ زیر بحث آسکتاہے،,"This issue can be discussed in this capacity, recognizing it as unnecessary for"
10,test/076_022_6.jpg,اسلامی حکم کے خلاف ہوگا، ہاں نکاح وطلاق کے اندراج کوصحت نکاح وطلاق,"It would be against Islamic law, but registration of marriage and divorce is not valid."
11,test/076_022_5.jpg,جو نکاح وطلاق کی اس حیثیت پر اثر انداز ہو، قبول نہیں کیاجاسکتا، کیونکہ وہ,"Anything that affects this status of marriage and divorce cannot be accepted, because it"
12,test/076_022_4.jpg,نہیں ہوئی، ناجائز اور قابل انکار نہیں قرار دی جاسکتی، اس لیے کوئی ایسا قانون,"It has not been done, cannot be declared invalid and cannot be denied, therefore, no such law"
13,test/076_022_3.jpg,اورکوئی طلاق صرف اس وجہ سے کہ وہ لکھی نہیں گئی یا سرکاری رجسٹر میں درج,And no divorce is valid simply because it is not written or recorded in the official register.
14,test/076_022_2.jpg,نکاح صرف اس وجہ سے وہ لکھا نہیں گیا یا سرکاری رجسٹرمیں درج نہیں ہے,The marriage is not registered simply because it is not written down or is not registered in the official register.
