,file_path,digital_urdu
0,test/051_016_0.jpg,مل سکتا ہے،’’
1,test/051_016_1.jpg,لفظوں کی یہی عظمت اور ان کی بہی شاہانہ مقام ہے جسے
2,test/051_016_2.jpg,پہچان کر عہد الزبتھ کے ڈراما نگاروں اور خصوساً شیکسپیر نے ڈرامے
3,test/051_016_3.jpg,کو ادبی عظمت بھی دی اور اس کی ادبی حیثیت میں وہ شاہانہ شکوہ
4,test/051_016_4.jpg,بھی  پیدا کیا جس کی طرف ایس اور برنارڈشا نے اشارتاً اور یٹس
5,test/051_016_5.jpg,نے واضح لفظوںمیں شادہ کیا ہے۔ عہد الزنتھ کے
6,test/051_016_6.jpg,ڈراما نگاروں نے ڈرامے کی فنی اہمیت کو پوری طرح محسوس کرتے
7,test/051_016_7.jpg,ہوئے بھی ا س کی ادبی اہمیت کو اس پر قربان نہیں کیا اور زبان و بیان
8,test/051_016_8.jpg,کے حسن کو بھی ڈرامائی فن کے لازمی عناصر میں سے ایک جانا اور اسی ادبی
9,test/051_016_9.jpg,احساس کا نتیجہ ہے کہ شیکسپیر کے ابتدائی ڈراموں کے متعلق مبصروں نے
10,test/051_016_10.jpg,یہ حکم لگایا ہے کہ انہیں محض ان کے حسن بیان کی وجہ سے حیات جاوداں
11,test/051_016_11.jpg,ملی ہے ۔ شیکسپیر کے ڈراموں کی انہوں خصوصیات کراذکر کرتے ہوئے
12,test/051_016_12.jpg,برنارڈشا نے دو باتیں لکھی ہین جن سے اس خیال کو تقویت پہنچتی ہے کہ
13,test/051_016_13.jpg,فنی اقدار سے زیادہ اپنی ادبی اقدار کی وجہ سے زندہ اور قائم ہے۔
14,test/051_016_14.jpg,پہلی بات تویہ ہے کہ شیکسپیر بحیثیت ایک خوش فکر اور لغزگوشاعر ایک دلولہ انگیز
15,test/051_016_15.jpg,خطیب، ایک سحراط از فسانہ گو اور دل نواز مطرب کے بے مثل اور
16,test/051_016_16.jpg,لاثانی ہے اور اپنے ڈراموں میں اپنے ان سب اوصاف سے سحرو طلسم
17,test/051_016_17.jpg,کی کیفیت پیدا کرتا ہے کسی ایسے ڈرامے کا خالق نہیں بن سکا جسے
18,test/051_016_18.jpg,ڈرامے کے فن کے لحاظ سے ایک مربوط اور مرتب وحدت کہا جا سکے
19,test/051_016_19.jpg,یا جسے ڈرمائی نف کے علمی تقاضوں کا بہترین مظہر سمجھا جا سکے۔
20,test/051_016_20.jpg,دوسری بات یہ کہ شیکسپیر کے ڈراموں کے مطالعے کے بعد سوائے
21,test/051_016_21.jpg,چند سطروں کے (جو یقیناً ادبی لحاظ سے بھی زیادہ اہم نہیں ہیں) باقی
22,test/051_016_22.jpg,سب حصے آسانی سے سمجھ لیتا ہے اور اس کے مقابلے میں عہدجدید
23,test/051_016_23.jpg,کے زیادہ ڈرامے جنہیں اسٹیج پر انتہائی کامیابی حاصل ہوئی۔
24,test/051_016_24.jpg,ایسے ہیں کہ انہیں اسٹیج کے باہر لاکر سمجھنا بھی مشکل ہے _ اور یہ
25,test/051_016_25.jpg,سب کچھ شاکر نزدیک اس لئے ہے کہ ان ڈرامانگاروںنے
26,test/051_016_26.jpg,ڈرامے کی ادبی قدروں کو نظر انداز کرکے اپنے آپ کو فنی قدروں کا
27,test/051_016_27.jpg,پابند اور حلقہ بگوش بتایا ہے۔ یعنی ڈرامے میں لفظون کی جو بنیادی
28,test/051_016_28.jpg,حیثیت اس کی طرف سے آنکھیں بند کرلی ہیں۔
29,test/051_016_29.jpg,ڈرامے کی فنی قدروں کے مقابلے میں اس کی ادبی قدروں کا
30,test/051_016_30.jpg,جومقام ہے اس کا اندازہ ایک طرف یہ دیکھ کر ہوتا ہے کہ دنیا کے
31,test/051_016_31.jpg,عظیم ڈراما نگارون نے ڈرمائی فن میں لفظوں کو یا بیان کے حسن کو
32,test/051_016_32.jpg,کتنی اہمیت دی ہے اور دوسری طرف یہ دیکھ کر کہ ان مختلف
33,test/051_016_33.jpg,چیزوں کے متعلق ان کانقطۂ نظر اور انداز فکر کیاہے جنہیں ڈرامے
34,test/051_016_34.jpg,کے فن کی آساس یا اس کی فنی قدروں کا بڑا اہمجزو سمجھا جاتا ہے۔
35,test/051_016_35.jpg,ہم بحیثیت مجموعی ادبی تخلیق کے عمل کا تجزیہ کریں تو اس نتیجے پر پہنچتے ہیں
36,test/051_016_36.jpg,کہ ادب کی سطح خواہ کچھ بھی ہو ادیب ، افسانہ نگاردیا ڈراما نگار کی بنیادی
37,test/051_016_37.jpg,دلچسپی کہانی سے، کہانی کے کردار سے یا کردار کے عمل سے نہیں ہوتی۔
38,test/051_016_38.jpg,بلکہ حقیقت میں وہ ان چیزوں کو مختلف وقتوں میں یا کبھی کبھی بہ یک وقت
39,test/051_016_39.jpg,اپنے احساس اور جذبے کے اظہار کا وسیلہ بنایاہے۔ ڈراما نگار کے
40,test/051_016_40.jpg,دل میں زندگی کے مشاہدے سے کسی خاص تاثر کے ماتحت ایک
41,test/051_016_41.jpg,جذبہ پیدا ہوا ہے اور اس نے ایک خیال یا فلسفے کی صورت اختیار
42,test/051_016_42.jpg,کی ہے۔ اسی جذبے، خیال یا فلسفے کو دوسروں تک پہچانے کے لئے
43,test/051_016_43.jpg,وہ کہانی سے، کہ دار سے، اس کے عمل سے کام لیتا ہے اور یوں گویا
44,test/051_016_44.jpg,یہ چیزیں تو اس کے تجربے کے اظہار کا ایک وسیلہ اور علامت بنتی ہیں۔
45,test/051_016_45.jpg,ان کی حیثیت اس سے زیادہ کچھ نہیں۔ ڈی ۔ایچ لارنس نے ان فنی مظاہر
46,test/051_016_46.jpg,کو انسانی شعور کی علامتی تخلیقات یا مخلوق کہا ہے ان کی حیثیت محض
47,test/051_016_47.jpg,شاعرانہ تخیل یا تصور کی علامقوں کیہے جن ڈراما نگاروں نے ان
48,test/051_016_48.jpg,علامتوں کو علامت کے بجائے حقیقت سمجھا انہوں نے ڈرامے کی
49,test/051_016_49.jpg,ادبی حیثیت کو اس کی فنی حیثیت پر قربان کیا۔ لیکن چونکہ بڑے
50,test/051_016_50.jpg,فن کاروں نے ہمیشہ حقیقت اور علامت کا یہ امتیاز قائم رکھا ہے
51,test/051_016_51.jpg,اس لئے ان کے ڈراموں نے ڈرامے کی قدرون کو زندہ رکھا ہے۔
52,test/051_016_52.jpg,ڈرامے کی ان ادبی قدروں سے اپنی حیات کو مستحکم بنانے
53,test/051_016_53.jpg,کے لئے ڈرامائی فن کے ہر شعبے میں علاقوں سے مددلی ہے اور امبس
54,test/051_016_54.jpg,اور چیخوف جیسے ڈراما نگارون نے اس احساس کے تحت کہ لفظ اپنے
55,test/051_016_55.jpg,روزمرہ کے لغوی مفہوم مین گہرے اور لطیف معانی اور
56,test/051_016_56.jpg,مفاہیم کے حامل نہیں ہو سکتے انہیں علامتی سطح پر استعمال
57,test/051_016_57.jpg,کرنا شروع کیا اور لفظ کو تصویر کی جگہ دے کر ہر طرح کی
58,test/051_016_58.jpg,نزاکت اور لطافت کے اظہار کے لئے آسانی پیدا کرلی_
59,test/051_016_59.jpg,عام ڈراما نگاروں نے کردار، اور عمل ، کو مقصود بالذات بناکر
60,test/051_016_60.jpg,ان دونوں چیزوں کی علامتی حیثیت میں جو غیر ضروری اور غیر معمولی
61,test/051_016_61.jpg,مفہوم پیدا کردیا تھا۔ البسن اور چیخوف اسے حقیقت کی فطری سطے پر
62,test/051_012_0.jpg,محض ایک  ثانوی اور فروعی چیز ہے اور حقیقت میں ڈڈرامے کی
63,test/051_012_1.jpg,کامیابی کا انحصار اس دوسری چیز پر نہیں بلکہ پہلی پر ہے ڈررامے کو
64,test/051_012_2.jpg,ایک فن سمجھنے والوں کے اس دعوے نے (جس کی بنیاد یقیناً ڈراما
65,test/051_012_3.jpg,نگاروں کا عمل ہے) کہ ڈرامے کی کامیابی میں بیان کے حسن کو کوئی
66,test/051_012_4.jpg,دخل نہیں ڈرامے کی ادبی اہمیت ہر حددرجہ، اثرانداز ہوئی
67,test/051_012_5.jpg,ہے اور ڈرامے کی قدرواہمیت کا تعین کرتے وقت اس کی
68,test/051_012_6.jpg,فنی اور ادبی حیثیتوں میں امتیاز کیا جانے لگا ہے اور اس
69,test/051_012_7.jpg,امتیاز میں فن کو ادب پر تفوق دینےے کو رجحان عام ہوگیا
70,test/051_012_8.jpg,ہے۔ اور یہ سمجھا جانے لگا ہے کہ ایک اچھے ڈرامے کی تخلیق
71,test/051_012_9.jpg,لفظوں کے اس سرمائے کی طرف سے بے اعتنائی برت کر بھی
72,test/051_012_10.jpg,ہوسکتی ہے جو ادب میں اظہار کا واحد وسیلہ بھی ہیں  اور حسن کا اظہار کا
73,test/051_012_11.jpg,موثر ذریعہ بھی اس میںشک نہیں کہ ڈراما نگار بھی اپنی خیال کے
74,test/051_012_12.jpg,اظہار کے لئے الفاظ ہی کامحتاج اور ددست نگر ہے لیکن ناول نگارہ
75,test/051_012_13.jpg,اور افسانہ نگار کی طرح وہ لفظون کے نازک  اور لطیف صرف اور
76,test/051_012_14.jpg,استعمال  کا پابنند نہیں ۔ اس کے استعمال کئے ہوئے لفظوں کی
77,test/051_012_15.jpg,نزاکت اور لطافت اُسی وقت مکمل نہیں ہوجاتی جب وہ اس کے
78,test/051_012_16.jpg,قلم سے نکل کر صفحہ قرطاس پردارد ہوتے ہیں۔ یہہ ادھورا کام
79,test/051_012_17.jpg,اس وقت مکمل ہوتا ہے جب اسٹیج پر اداکارا سے اپنی زبان سے
80,test/051_012_18.jpg,ادا کرتا ہے اور اس لئے لفظوں کی اپنی حیثیت کے علاوہ انہیں
81,test/051_012_19.jpg,زبان سے ادا کرنے والے اداکار کی شخصیت ، آواز ،لہجہ، حرکات و
82,test/051_012_20.jpg,سکنات، اشارے بھی ان کی لطیف اور نازک تصور کو مکمل کرنے میں
83,test/051_012_21.jpg,حصہ لیتے ہیں۔
84,test/051_012_22.jpg,ڈرامے کی تاریخ کے ہر دور میں اس رجحان کے خلاف
85,test/051_012_23.jpg,احتجاج کیا گیا ہے اور ایک طرف تویہ کہا گیا ہے کہ بے شک ڈرامے کا
86,test/051_012_24.jpg,مکمل وجود تھیٹر اور اسٹیج کے بغیر ممکن نہیں، لیکن اس سے بھی
87,test/051_012_25.jpg,انکار نہیں ہو سکتا کہ تھیٹر کامکمل وجود بھی ڈرامے کے بغیر ممکن نہیں،
88,test/051_012_26.jpg,اور دوسری طرف اس بات پر زور دیا گیا کہ اس کے باوجود کہ
89,test/051_012_27.jpg,ڈراما نگاروں نے ڈرامے اسٹیج کے لئے لکھئے عظیم ڈرام نگاروں کا
90,test/051_012_28.jpg,عمل یہ ثابت کرتا ہے کہ انہوں نے ڈرامے کو ایک عظیم فن سمجھتے ہوئے
91,test/051_012_29.jpg,بھی یہ بات فراموش نہیں کی کہ وہ ادب بھیہے اور یہی ادب ہے
92,test/051_012_30.jpg,جس کی بدولت ڈرامے کو حیات جاودان ملتی ہے۔
93,test/051_012_31.jpg,ڈرامے پر فنی حیثیت سے نظر ڈالی جائے تو اس بدیہی حقیقت
94,test/051_012_32.jpg,سے انکار ممکن نہیں کہ چونکہ ڈراما نگار، ڈرام فوری تاثر پیدا کرنے کی
95,test/051_012_33.jpg,غرض سے لکھتا ہے اس لئے اس کی نظر فن کے اُن وسائل پر ہوتی ہے
96,test/051_012_34.jpg,جو اسے  اس مقصد کے حصول میں مدد دیں اور جن کی مدد سے وہ
97,test/051_012_35.jpg,طلسم وفریب کی ایک عارضی دنیا کی تشکیل کرسکے۔ ڈرامے کی پوری دنیا
98,test/051_012_36.jpg,عارضی طلسم کی یہی دنیا ہے اور اس دنیا کی قدروں پر تصنع اور تکلف کا
99,test/051_012_37.jpg,سایہ ہے۔ تصنع اور تکلف کی انہیں قدرون کا نام ڈرامے کا فن ہے۔
100,test/051_012_38.jpg,اس بات سے انکار ممکن نہیں کہ ایک سچا اور حقیقی فن کار فریب و
101,test/051_012_39.jpg,طلسم کی اس دنیا میں خوش نہیں رہ سکتا اور اپنے تصور تخیل اور فکر کو
102,test/051_012_40.jpg,اس کی محدود قدروں کی زنجیروں کا پابند نہیں رکھ سکتا۔حقائق کی
103,test/051_012_41.jpg,کشادہ وفراخ سرزمین کو ترک کرکے تکلفات کی اس گھٹن پیدا کرنے
